Tiempo,CPU,RAM,Temp,Corriente (mA)
39,3.0,48.1,38.946,517.7743902439025
40,51.0,49.0,40.407,448.9939024390244
40,40.0,48.7,40.407,550.7926829268292
41,33.2,48.7,41.381,562.0426829268292
41,38.8,48.8,40.407,495.3658536585366
42,34.9,48.8,40.407,556.280487804878
42,33.5,48.8,41.868,511.0060975609756
43,29.0,48.3,38.946,548.5060975609756
43,13.6,49.1,39.92,463.1707317073171
44,47.2,49.3,40.894,543.9329268292684
44,41.5,48.3,40.407,512.0121951219512
45,30.8,48.3,40.407,483.29268292682923
45,38.8,48.5,40.407,512.2865853658537
46,34.3,48.5,39.92,480.54878048780483
46,32.2,48.5,40.407,518.1402439024391
47,27.6,48.3,38.946,522.8963414634147
47,11.7,49.1,39.433,435.3658536585366
48,47.5,49.3,39.92,534.9695121951219
48,40.4,49.0,41.381,483.2012195121951
49,34.3,49.0,41.381,549.4207317073171
49,38.6,49.1,41.381,537.2560975609756
50,35.3,49.1,40.894,539.9085365853658
50,34.2,49.1,40.894,545.9451219512194
51,31.5,48.5,39.92,502.7743902439025
51,26.4,48.5,41.868,526.5548780487806
52,26.1,48.5,39.92,529.9390243902438
52,26.4,48.5,40.894,510.45731707317077
53,1.5,48.5,38.946,516.4939024390244
53,49.5,49.1,40.894,429.0548780487805
54,41.6,48.8,40.894,533.5060975609756
54,33.3,48.8,40.894,541.3719512195122
55,35.7,48.9,40.894,506.98170731707313
55,37.9,49.0,39.92,538.3536585365854
56,32.0,49.0,40.894,500.8536585365854
56,31.5,48.4,39.433,499.4817073170732
57,8.0,48.9,39.433,445.2439024390244
57,52.0,49.1,41.381,541.6463414634146
58,39.9,48.8,39.92,531.219512195122
58,33.5,48.8,40.407,506.43292682926835
59,36.9,48.9,41.381,551.9817073170732
59,35.2,49.0,39.92,560.9451219512194
60,31.5,49.0,41.381,491.7073170731707
60,32.8,48.5,40.894,547.9573170731708
61,14.1,48.5,39.92,494.359756097561
61,25.0,49.2,40.894,417.7134146341464
62,48.8,48.8,40.894,504.8780487804878
62,37.1,48.9,41.381,545.670731707317
63,35.8,48.9,40.894,545.8536585365854
63,40.2,49.3,39.92,503.14024390243907
64,33.0,49.3,40.894,536.25
64,33.8,49.3,41.868,496.280487804878
65,15.0,48.9,39.92,518.9634146341463
65,31.3,48.8,40.894,435.5487804878049
66,44.8,48.4,41.381,506.98170731707313
66,36.7,48.6,40.894,511.7378048780488
67,33.0,48.6,41.381,582.530487804878
67,38.6,48.8,41.381,539.1768292682926
68,33.8,48.8,41.381,615.0
68,33.7,48.8,41.381,553.3536585365854
69,29.1,48.4,40.407,548.9634146341464
69,26.9,48.4,40.894,507.62195121951214
70,25.3,48.4,40.407,520.1524390243902
70,13.0,48.4,38.459,500.30487804878044
71,40.7,48.9,40.894,456.6768292682927
71,46.2,48.8,40.407,580.7926829268292
72,35.2,48.8,39.433,530.030487804878
72,35.8,48.8,40.407,498.9329268292683
73,37.7,48.9,40.407,588.2926829268292
73,33.3,49.0,40.407,539.2682926829268
74,31.7,49.0,40.894,627.5304878048781
74,16.4,48.6,38.946,545.9451219512194
75,30.0,48.6,40.407,476.1585365853658
75,46.8,48.4,39.92,510.0
